Idade;Sexo;Renda_Men;Obt_info;Forma_diver;Possuir_acessar;Comp_on_pres;Temp_med;Meio_pagamento;Freq_comp_on;Comp_por_rec;Disp_p_comp_on;Valor_med_gasto;Facilidade_nav;Comp_preco;Satisfeito_compra_on;Seg_com_on;Sust_com_on;Crit_comp_on;
57;Masculino;de R$ 5.001 a R$ 10.000;Sites online (internet);Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Só possuir;Loja Física;1;Cartão de crédito/débito físico;Raramente (Anual);Sim;Celular;50;Concordo em parte;Concordo totalmente;Discordo em parte;Discordo em parte;Nem concordo e nem discordo;Qualidade do produto;
56;Feminino;de R$ 5.001 a R$ 10.000;Sites online (internet);Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Mais possuir do que apenas acessar;Loja Física;2;Cartão de crédito/débito físico;Frequentemente (Mensal);Não;Computador;1200;Concordo em parte;Concordo totalmente;Concordo em parte;Concordo em parte;Concordo totalmente;Outro;
58;Feminino;de R$ 2.001 a R$ 5.000;Sites online (internet);Televisão;Só possuir;Loja Física;2;Cartão de crédito/débito físico;Frequentemente (Mensal);Não;Celular;1200;Concordo totalmente;Concordo em parte;Concordo totalmente;Concordo em parte;Concordo em parte;Qualidade do produto;
57;Masculino;acima de R$ 10.000;Sites online (internet);Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Indiferente;Loja Física;2;Carteira Digital (cartão no celular);Sempre (Semanal);Não;Computador;1000;Concordo em parte;Concordo em parte;Concordo em parte;Discordo em parte;Concordo em parte;Reputação da loja/site;
46;Feminino;acima de R$ 10.000;Redes Sociais;Eventos presenciais;Só possuir;Loja Física;2;Cartão de crédito/débito físico;Às vezes (Semestral);Não;Celular;100;Concordo totalmente;Nem concordo e nem discordo;Nem concordo e nem discordo;Nem concordo e nem discordo;Nem concordo e nem discordo;Preço;
49;Feminino;acima de R$ 10.000;Redes Sociais;Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Mais possuir do que apenas acessar;Loja Virtual (Internet);2;Cartão de crédito/débito físico;Sempre (Semanal);Sim;Celular;2000;Concordo totalmente;Concordo totalmente;Concordo em parte;Concordo em parte;Discordo em parte;Avaliação dos outros compradores;
59;Feminino;acima de R$ 10.000;Sites online (internet);Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Só possuir;Loja Física;3;Cartão de crédito/débito físico;Raramente (Anual);Não;Celular;50;Concordo em parte;Concordo em parte;Concordo em parte;Discordo totamente;Nem concordo e nem discordo;Avaliação dos outros compradores;
36;Feminino;Até R$ 2.000,00;TV aberta;Televisão;Só possuir;Loja Virtual (Internet);1;Pix;Às vezes (Semestral);Sim;Celular;200;Concordo totalmente;Concordo totalmente;Concordo totalmente;Discordo em parte;Discordo em parte;Preço;
56;Masculino;acima de R$ 10.000;Redes Sociais;Eventos presenciais;Mais possuir do que apenas acessar;Loja Virtual (Internet);2;Cartão de crédito/débito físico;Às vezes (Semestral);Sim;Computador;2000;Concordo em parte;Concordo totalmente;Concordo totalmente;Concordo em parte;Discordo em parte;Preço;
63;Masculino;acima de R$ 10.000;TV aberta;Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Só possuir;Loja Física;1;Pix;Às vezes (Semestral);Não;Computador;500;Concordo em parte;Concordo em parte;Concordo totalmente;Discordo totamente;Concordo em parte;Reputação da loja/site;
